"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
125,"Francisco Cerundolo",22.8,1651.9,"1383.4","1609.5","-",1517.6,1630.7,1525.9,"2021 Buenos Aires SF",22.5,1835.7
126,"Michael Mmoh",23.4,1651.6,"1582.5","1420.4","1383.3",1617.1,1536,1517.4,"2017 San Francisco CH QF",19.1,1749.2
127,"Andrey Kuznetsov",30.3,1648.4,"1523.4","1659.6","1504.7",1585.9,1654,1576.6,"2016 Moscow R32",25.7,1877.5
128,"James Duckworth",29.4,1647.1,"1573.4","1432.7","1501.0",1610.2,1539.9,1574,"2016 Toyota CH F",24.8,1707.8
129,"Benjamin Bonzi",25,1646.6,"1586.2","1459.7","1624.9",1616.4,1553.2,1635.7,"2021 Biella 4 CH QF",24.8,1698.8
130,"Mario Vilella Martinez",25.9,1644.9,"1506.7","1565.1","1339.0",1575.8,1605,1491.9,"2021 Roland Garros Qual",25.9,1663.8
131,"Tennys Sandgren",29.9,1643.4,"1553.2","1534.3","1585.4",1598.3,1588.8,1614.4,"2020 Roland Garros R128",29.2,1779.4
132,"Juan Pablo Varillas",25.7,1642.5,"1143.0","1608.8","-",1392.7,1625.7,1521.3,"2021 Zagreb CH QF",25.6,1699
133,"Cedrik Marcel Stebe",30.6,1642.4,"1588.4","1551.3","1445.6",1615.4,1596.9,1544,"2017 Sibiu CH F",26.9,1805.8
134,"Nicolas Kicker",28.6,1640.1,"1406.7","1600.5","1297.8",1523.4,1620.3,1469,"2018 Madrid Qual",25.7,1689.7
135,"Henri Laaksonen",29.2,1639.2,"1487.7","1588.8","1261.5",1563.5,1614,1450.3,"2017 Knoxville CH QF",25.6,1688.6
136,"Christopher O'Connell",27,1637,"1542.7","1518.4","1416.9",1589.9,1577.7,1527,"2019 Knoxville CH SF",25.4,1694.6
137,"Matthew Ebden",33.5,1632.4,"1573.5","1297.2","1581.2",1603,1464.8,1606.8,"2018 Shanghai R16",30.9,1778.5
138,"Damir Dzumhur",29.1,1630.6,"1554.0","1560.1","1601.3",1592.3,1595.4,1616,"2018 Dubai R32",25.8,1887.6
139,"Mikhail Kukushkin",33.5,1629.4,"1598.8","1517.5","1494.8",1614.1,1573.5,1562.1,"2010 St. Petersburg F",22.8,1849.6
140,"Viktor Troicki",35.3,1629.3,"1519.4","1553.3","1641.5",1574.3,1591.3,1635.4,"2011 Monte Carlo R32",25.2,1990.2
141,"Nicolas Jarry",25.6,1628.4,"1486.6","1685.3","1494.0",1557.5,1656.8,1561.2,"2018 Shanghai R32",23,1810.9
142,"Dennis Novak",27.8,1626.4,"1591.0","1489.7","1601.5",1608.7,1558.1,1614,"2019 Ortisei CH R32",26.2,1749.8
143,"Peter Gojowczyk",31.9,1624.2,"1577.1","1436.7","1574.6",1600.7,1530.4,1599.4,"2018 Delray Beach SF",28.6,1830.2
144,"Salvatore Caruso",28.5,1622.1,"1568.1","1541.8","1499.3",1595.1,1582,1560.7,"2019 US Open Qual",26.7,1710.7
145,"Gregoire Barrere",27.3,1615.6,"1604.1","1439.4","1497.9",1609.9,1527.5,1556.8,"2020 Rotterdam Qual",26,1792.2
146,"Tomas Martin Etcheverry",21.9,1605.1,"1154.2","1556.8","-",1379.7,1580.9,1502.5,"2021 Forli CH QF",21.9,1634.4
147,"Felipe Meligeni Rodrigues Alves",23.3,1603.7,"1271.9","1549.2","-",1437.8,1576.5,1501.9,"2021 Rome 2 CH R32",23.2,1670.4
148,"Nikola Milojevic",25.9,1602.9,"1434.5","1560.1","1303.4",1518.7,1581.5,1453.1,"2021 Zagreb CH R16",25.9,1629.6
149,"Elias Ymer",25.2,1602.1,"1464.6","1546.5","1335.0",1533.3,1574.3,1468.6,"2015 Caltanissetta CH F",19.2,1729.2
150,"Hugo Gaston",20.7,1602,"1486.2","1514.6","1500.0",1544.1,1558.3,1551,"2021 Rome 1 CH SF",20.6,1672.8
151,"Bernard Tomic",28.6,1600.3,"1578.5","1451.3","1563.1",1589.4,1525.8,1581.7,"2016 Australian Open R32",23.2,1945
152,"Illya Marchenko",33.8,1600.2,"1565.1","1331.3","1466.1",1582.6,1465.8,1533.1,"2010 Marseille Qual",22.4,1776.3
153,"Joao Sousa",32.2,1600,"1581.9","1503.9","1527.6",1591,1551.9,1563.8,"2016 Australian Open R64",26.8,1844.7
154,"Jozef Kovalik",28.6,1597.6,"1406.4","1557.3","1318.5",1502,1577.5,1458.1,"2018 Hamburg QF",25.7,1706.8
155,"Liam Broady",27.4,1597.6,"1538.1","1474.3","1294.0",1567.8,1535.9,1445.8,"2017 Las Vegas CH SF",23.8,1670.3
156,"Aleksandar Vukic",25.2,1597.3,"1487.2","1503.5","1429.6",1542.2,1550.4,1513.5,"2020 Roland Garros Qual",24.5,1647.5
157,"Hugo Dellien",28,1597.3,"1360.9","1553.0","1376.1",1479.1,1575.1,1486.7,"2019 Milan CH F",26,1716.8
158,"Maximilian Marterer",26,1596.4,"1527.6","1536.8","1382.2",1562,1566.6,1489.3,"2018 Stuttgart R32",23,1805
159,"Daniel Altmaier",22.8,1595.3,"1434.7","1570.5","1416.9",1515,1582.9,1506.1,"2020 Roland Garros R32",22,1757.8
160,"Roman Safiullin",23.8,1594.5,"1538.2","1353.7","-",1566.3,1474.1,1497.3,"2020 Prague CH R64",22.6,1652.6
161,"Andrej Martin",31.7,1592.8,"1275.4","1554.5","1114.7",1434.1,1573.6,1353.8,"2014 US Open Qual",24.9,1665.5
162,"Frederico Ferreira Silva",26.2,1589.1,"1519.9","1465.2","1378.8",1554.5,1527.1,1484,"2021 Prague CH R16",26.1,1636.7
163,"Leonardo Mayer",34.1,1584.6,"1582.3","1544.8","1464.6",1583.4,1564.7,1524.6,"2015 Canada R64",28.2,1873.5
164,"Sumit Nagal",23.8,1584,"1374.6","1530.3","1346.9",1479.3,1557.2,1465.5,"2019 Campinas CH QF",22.1,1717.1
165,"Robin Haase",34.2,1583.9,"1568.0","1484.1","1544.2",1576,1534,1564.1,"2011 Winston-Salem QF",24.4,1858.2
166,"Alejandro Tabilo",24,1582.7,"1399.4","1554.0","1341.9",1491.1,1568.4,1462.3,"2020 Aix En Provence CH QF",23.2,1655.7
167,"Brandon Nakashima",19.9,1579.3,"1652.3","1380.8","1383.6",1615.8,1480,1481.5,"2020 Indian Wells CH QF",18.6,1739.3
168,"Alessandro Giannessi",31,1579.1,"1302.5","1559.4","1320.5",1440.8,1569.2,1449.8,"2011 Napoli2 CH SF",21.3,1728.7
169,"Mathias Bourgue",27.4,1577.1,"1552.8","1409.3","1397.1",1565,1493.2,1487.1,"2021 Biella 4 CH R16",27.2,1656.7
170,"Christopher Eubanks",25.1,1576.1,"1521.4","1295.5","1387.2",1548.8,1435.8,1481.7,"2019 Australian Open Qual",22.7,1629.5
171,"Jesper De Jong",21,1574.3,"1300.0","1574.7","-",1437.2,1574.5,1487.2,"2021 Almaty CH F",21,1574.3
172,"Martin Klizan",31.9,1574.3,"1499.1","1563.7","1339.6",1536.7,1569,1456.9,"2015 Barcelona QF",25.8,1892.2
173,"Marco Trungelliti",31.3,1574,"1375.8","1570.8","1215.5",1474.9,1572.4,1394.8,"2018 Tampere CH R16",28.5,1670
174,"Matthias Bachinger",34.2,1572.1,"1525.8","1460.6","1481.0",1549,1516.4,1526.6,"2011 Granby CH SF",24.3,1704.1
175,"Dimitar Kuzmanov",27.8,1568.9,"1453.6","1492.0","1500.0",1511.3,1530.5,1534.5,"2021 Biella 5 CH R32",27.8,1616.7
176,"Quentin Halys",24.6,1568.2,"1462.9","1503.0","1392.3",1515.6,1535.6,1480.2,"2016 Ilkley CH R16",19.6,1681.1
177,"Marius Copil",30.7,1565.7,"1513.2","1417.6","1566.1",1539.5,1491.7,1565.9,"2018 Basel SF",28,1757
178,"Juan Ignacio Londero",27.8,1565,"1372.8","1554.6","1333.6",1468.9,1559.8,1449.3,"2019 US Open R128",26,1764.5
