"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
73,"Andrej Martin",28.4,1735.8,1460.2,1723.2,1473.9,"2018 Quito SF",28.4,1773.2
74,"Nicolas Jarry",22.6,1734.5,1499.1,1701.8,1459.8,"2018 Sao Paulo F",22.4,1831.2
75,"Robin Haase",31.2,1734.4,1671.9,1630.3,1568.8,"2008 Zagreb QF",20.9,1865.9
76,"Viktor Troicki",32.2,1731.5,1678.2,1674.6,1538.3,"2011 Monte Carlo Masters QF",25.2,2001.7
77,"Bernard Tomic",25.6,1730.3,1679.6,1499,1681,"2012 Australian Open R16",19.2,1941.7
78,"Federico Delbonis",27.6,1726.6,1645.7,1719.6,1328.8,"2013 Hamburg F",22.8,1852.8
79,"Malek Jaziri",34.4,1726.6,1656,1686.8,1391.3,"2017 Miami Masters R32",33.2,1804.3
80,"Thanasi Kokkinakis",22,1726.2,1657,1492.7,1483.4,"2017 Los Cabos F",21.3,1762.6
81,"Ivo Karlovic",39.3,1725.4,1675.1,1604.9,1684.4,"2007 Paris Masters R32",28.7,2002.1
82,"Alex De Minaur",19.3,1725.1,1680.5,1505.2,1500,"2018 Sydney F",18.9,1841.7
83,"Yoshihito Nishioka",22.7,1724.1,1709.2,1450.9,1393.5,"2018 Australian Open R64",22.3,1841.8
84,"Taro Daniel",25.3,1723.4,1548.2,1673.1,1385.2,"2018 Istanbul F",25.3,1695.8
85,"Mischa Zverev",30.8,1722.6,1623.6,1608,1604.3,"2017 Australian Open QF",29.4,1839.3
86,"Maximilian Marterer",23,1720.9,1622,1678.3,1389.7,"2018 Stuttgart R16",23,1777.2
87,"Andrey Kuznetsov",26.6,1719.5,1582.9,1713.2,1474.8,"2016 Geneva QF",25.2,1880.3
88,"Denis Istomin",31.8,1718.4,1666.8,1560,1644.8,"2014 Wimbledon R32",27.8,1851.7
89,"Daniel Evans",28.1,1715.8,1720.1,1527.3,1472,"2017 Australian Open R16",26.7,1880.6
90,"Jurgen Melzer",36.9,1712.3,1653.9,1642.7,1623.4,"2010 Paris Masters QF",29.5,1967.4
91,"Janko Tipsarevic",33.2,1712.3,1705.3,1646.8,1607.9,"2012 Bangkok SF",28.3,2055.8
92,"Gilles Muller",35.1,1711.5,1615.9,1524.4,1685.9,"2017 Wimbledon QF",34.2,1986.9
93,"Nicolas Mahut",36.3,1708.8,1640.2,1549.7,1683.6,"2007 Metz SF",25.7,1888.7
94,"Pablo Andujar",32.3,1707.4,1459.9,1751.5,1306.9,"2012 Barcelona R32",26.2,1804.9
95,"Yen Hsun Lu",34.1,1706.6,1636.5,1439.3,1585.8,"2014 Indian Wells Masters R32",30.6,1804.2
96,"Matthew Ebden",30.6,1703.3,1540.5,1333.4,1627.8,"2012 Indian Wells Masters R16",24.3,1853.5
97,"Lukas Rosol",32.8,1701.5,1620.9,1658.2,1439.8,"2013 Rome Masters R64",27.8,1877.4
98,"Jared Donaldson",21.7,1699.9,1685.6,1516.2,1391,"2017 Chengdu QF",21,1833.5
99,"Jan Lennard Struff",28.1,1699.4,1621.8,1645.7,1346.9,"2017 Vienna QF",27.5,1798
100,"Tommy Haas",39.3,1698.6,1602.7,1636.5,1513.1,"2002 Australian Open SF",23.8,2122.4
101,"Jiri Vesely",24.9,1694.4,1578.5,1702.3,1543.7,"2017 Roland Garros R32",23.9,1841.3
102,"Roberto Carballes Baena",25.2,1692.7,1412.8,1685.3,1500,"2018 Buenos Aires R32",24.9,1749.3
103,"Horacio Zeballos",33.1,1692,1591.2,1667.6,1209.1,"2010 Houston SF",24.9,1794.2
104,"Albert Montanes",36.4,1691.8,1480.6,1698.8,1419.9,"2001 Bucharest F",20.8,1901.5
105,"Ernests Gulbis",29.7,1690.1,1594.7,1712.2,1520.6,"2014 Roland Garros SF",25.7,2048.3
106,"Henri Laaksonen",26,1687.6,1601.1,1614.4,1422.2,"2017 Antwerp R16",25.5,1754.3
107,"Guillermo Garcia Lopez",35,1686.9,1568.9,1708.5,1427.3,"2010 Shanghai Masters QF",27.4,1882.2
108,"Dudi Sela",33.1,1684.5,1647.7,1328.3,1609.6,"2009 Memphis SF",23.9,1860.1
109,"Ricardo Rodriguez",24.9,1679.8,1718,1542.9,1500,"2014 Davis Cup G1 R1",20.8,1708.3
110,"Mirza Basic",26.9,1678.7,1772.1,1458.9,1477.4,"2018 Miami Masters R128",26.7,1863.7
111,"Sergiy Stakhovsky",32.4,1675.4,1597.1,1508.8,1596.5,"2010 Kuala Lumpur R16",24.7,1910.3
