"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
144,"Lin Zhu",25.4,1584.9,1563.2,1105.1,"1318.9","2019 Indian Wells R128",25.1,1681.4
145,"Robin Anderson",26.2,1581.9,1544.9,1157.9,"1432.5","2019 W60 Croissy Beaubourg F",25.9,1617.9
146,"Xiyu Wang",18.2,1580.6,1494.9,1462.4,"1379.7","2019 Roland Garros Qual",18.2,1674.9
147,"Marie Bouzkova",20.9,1579.3,1567,1319.4,"1425.8","2019 Miami Qual",20.7,1658.8
148,"Kurumi Nara",27.5,1578.2,1520.2,1478.4,"1341.3","2015 Hobart SF",23,1801.8
149,"Nao Hibino",24.6,1576.5,1558.8,1372,"1367.9","2015 Tianjin R32",20.9,1725.2
150,"Vera Lapko",20.7,1575.2,1565.9,1571.4,"1425.9","2018 Roland Garros Qual",19.7,1797.3
151,"Tereza Smitkova",24.7,1572.9,1535.6,1350.6,"1434.3","2015 Australian Open R64",20.3,1773.2
152,"Lucie Hradecka",34.1,1569.6,1506.9,1498.5,"1253.2","2011 Strasbourg QF",26,1917.3
153,"Giulia Gatto Monticone",31.6,1569.3,1377.9,1476.5,"1405.1","2019 Nottingham Qual",31.6,1556.1
154,"Tereza Martincova",24.6,1568,1537.6,1343.2,"1333.7","2019 Budapest Qual",24.3,1618
155,"Misaki Doi",28.1,1567.4,1558.3,1386,"1467.5","2016 Stanford QF",25.2,1805.4
156,"Rebecca Sramkova",22.7,1567.3,1355.1,1503.5,"1463.7","2016 Tashkent Qual",19.9,1668.2
157,"Barbara Haas",23.2,1566.1,1387.7,1513.7,"1479.8","2016 Saint Malo $50K R16",20.5,1605.1
158,"Maryna Zanevska",25.7,1565.7,1523.4,1491.6,"1319.5","2016 Limoges QF",23.2,1716.9
159,"Ying Ying Duan",29.9,1562.2,1512.2,1079.4,"1452.3","2017 Australian Open R32",27.6,1694.6
160,"Ludmilla Samsonova",20.6,1558.1,1472,1429.5,"1383.4","2019 Dubai Qual",20.3,1661.7
161,"Ann Li",19,1556.8,1416.8,1455.6,"1332.2","2019 W100 Bonita Springs FL F",18.9,1609.2
162,"Sofya Zhuk",19.5,1555.7,1491,1478,"1441.4","2018 Indian Wells R32",18.3,1757.8
163,"Priscilla Hon",21.1,1553.1,1525.3,1274,"1319.1","2019 Sydney R16",20.7,1601.5
164,"Harriet Dart",22.9,1553,1523.3,1218.8,"1417.8","2019 W60 Croissy Beaubourg SF",22.7,1647.8
165,"Evgeniya Rodina",30.4,1549.7,1441,1422.4,"1573.3","2009 Dothan AL 75K SF",20.2,1743.1
166,"Cagla Buyukakcay",29.7,1548.6,1455.1,1490.7,"1140.4","2016 Roland Garros R64",26.7,1707.8
167,"Sabine Lisicki",29.7,1546.9,1539.3,1429.6,"1570.4","2012 Australian Open R16",22.3,2019.9
168,"Martina Trevisan",25.6,1543.7,1412.7,1472.3,"1270.5","2018 US Open Qual",24.8,1680.1
169,"Magdalena Frech",21.5,1543.1,1443.8,1442.5,"1408.4","2018 Nottingham R16",20.5,1653.9
170,"Irina Maria Bara",24.2,1541.2,1256.7,1507.8,"1301.8","2018 Bucharest R16",23.3,1614.6
171,"Arantxa Rus",28.5,1535.5,1485.2,1425.4,"1385.1","2012 Biarritz 100K SF",21.6,1741
172,"Dalila Jakupovic",28.2,1533.6,1522.4,1370.1,"1471.2","2018 Birmingham QF",27.2,1705
173,"Paula Ormaechea",26.7,1529.9,1335.1,1484.7,"1221.9","2013 Roland Garros R32",20.7,1756.9
174,"Danielle Lao",28.1,1529.2,1465.7,1200.6,"1387.5","2018 Las Vegas NV $80K QF",27.4,1659.4
175,"Bibiane Schoofs",31.1,1528,1425.2,1381.8,"1470.9","2012 Versmold 50K SF",24.1,1624.8
176,"Katie Swan",20.2,1527.5,1402.6,1572.5,"1275.8","2019 W100 Ilkley R16",20.2,1551.3
177,"Conny Perrin",28.5,1526.3,1414.5,1421.3,"1454.1","2018 US Open Qual",27.7,1552.2
178,"Georgina Garcia Perez",27.1,1518.9,1526.1,1416.1,"1351.1","2018 Zagreb $60K QF",26.3,1643.1
179,"Kristie Ahn",27,1514.8,1490.5,1394.4,"1363.7","2017 Wimbledon Qual",25,1731.4
180,"Laura Ioana Andrei",31,1514.8,1441.4,1479.5,"1289.0","2019 Nurnberg R16",31,1540.4
181,"Alexandra Cadantu",29.1,1512.5,1362.7,1485.1,"1180.4","2012 Olomouc 100K F",22.2,1753.4
182,"Dalma Galfi",20.8,1512.1,1410,1449.8,"1291.3","2016 Dubai $100K R16",18.3,1567.2
183,"Richel Hogenkamp",27.1,1511,1416.1,1478.6,"1329.3","2017 's Hertogenbosch R16",25.2,1721.1
184,"Tamara Korpatsch",24.1,1510.9,1321,1539.8,"1271.9","2017 Budapest R16",21.8,1636
185,"Anhelina Kalinina",22.4,1510.4,1425.9,1463.5,"1201.0","2015 Lexington KY $50K QF",18.5,1592.8
186,"Varvara Flink",22.5,1504.6,1422.6,1474.6,"1455.7","2016 Scottsdale AZ $50K QF",19.9,1620.1
187,"Nina Stojanovic",22.9,1504.5,1383.1,1457.6,"1312.7","2017 Shenzhen QF",20.4,1659.7
188,"Silvia Soler Espinosa",31.4,1499.8,1367.3,1443.5,"1300.6","2012 Wimbledon R64",24.6,1794.3
189,"Irina Khromacheva",23.9,1496.3,1447.5,1406.9,"1344.2","2016 Biarritz $100K QF",21.3,1665.3
190,"Xinyun Han",29,1489.3,1470.6,1365.3,"1141.7","2010 Ningbo 100K SF",20.3,1642.9
191,"Katy Dunne",24.3,1488.9,1395.9,1157.5,"1383.4","2019 W100 Surbiton QF",24.3,1497.9
192,"Valentini Grammatikopoulou",22.3,1488.6,1401.9,1411.5,"1346.2","2018 Fed Cup G2 PPO",21.2,1571.1
193,"En Shuo Liang",18.7,1488.3,1468.4,1295.7,"1344.8","2019 W60 Fukuoka QF",18.6,1570.3
194,"Olga Danilovic",18.4,1487,1408.4,1482.6,"1298.5","2018 US Open Qual",17.6,1784.6
195,"Jaimee Fourlis",19.7,1481,1220.4,1511.3,"1210.4","2019 W60 Barcelona SF",19.7,1501
196,"Daniela Seguel",26.6,1480.6,1338.6,1424.8,"1308.9","2018 Cagnes Sur Mer $100K QF",25.5,1587.8
197,"Renata Zarazua",21.7,1479.9,1404.8,1375.6,"1260.4","2019 Guadalajara QF",21.4,1529.4
198,"Jessika Ponchet",22.7,1479,1484.1,1149.9,"1306.3","2019 W60 Shrewsbury R16",22.4,1593.9
199,"Chloe Paquet",24.9,1476.5,1268.9,1376.5,"1388.9","2019 Strasbourg SF",24.9,1506.3
200,"Katherine Sebov",20.4,1474.5,1453.9,1126.4,"1409.2","2017 Charleston SC $60K R32",18.3,1538.7
201,"Kayla Day",19.6,1473.9,1454.4,1345.2,"1278.3","2016 Scottsdale AZ $50K SF",17.1,1707.2
202,"Viktoriya Tomova",24.3,1470.1,1428.5,1279.7,"1497.1","2016 Budapest $100K F",21.4,1668.9
203,"Destanee Aiava",19.1,1469.2,1434.5,1306.1,"1330.8","2018 Canberra $60K F",17.9,1576
204,"Kimberley Zimmermann",23.6,1469.1,1399.9,1461.4,"1304.1","2018 Biarritz $80K QF",22.8,1552
205,"Julia Glushko",29.4,1467.2,1425,1332,"1274.2","2013 US Open R32",23.6,1661.6
206,"Katarina Zavatska",19.4,1466.8,1259.5,1437.9,"1349.7","2017 Dunakeszi $60K F",17.6,1570.2
207,"Gabriela Dabrowski",27.2,1464.9,1381.8,1387.8,"1326.6","2013 Waterloo 50K F",21.2,1580.2
208,"Louisa Chirico",23.1,1464.6,1359.1,1450,"1233.9","2016 Madrid SF",20,1779.5
209,"Danka Kovinic",24.6,1461.6,1384,1430.6,"1166.0","2016 Istanbul F",21.4,1786.2
210,"Martina Di Giuseppe",28.3,1458.6,1139.6,1357.5,"1445.0","2019 W100 Ilkley R16",28.3,1469.1
211,"Caroline Dolehide",20.8,1452.4,1352.4,1445.3,"1328.0","2018 Roland Garros R64",19.7,1712.2
