"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
196,"Simona Waltert",21.5,1513.8,1335.4,1417.9,"1426.3",1424.6,1465.9,1470.1,"2022 W60 Saint-Gaudens R16",21.4,1568.6
197,"Jodie Anna Burrage",23,1513.6,1294.7,1193.4,"1404.1",1404.1,1353.5,1458.9,"2022 W100 Ilkley QF",23,1513.6
198,"Yuki Naito",21.3,1509.9,1274.4,1429.9,"-",1392.1,1469.9,1429.9,"2022 W60 Biarritz R16",21.3,1531.5
199,"Kateryna Bondarenko",35.6,1509.4,1507.2,1349.7,"1491.2",1508.3,1429.6,1500.3,"2009 Beijing Qual",23.2,1965.8
200,"Maria Lourdes Carle",22.3,1507.7,1368.5,1454.5,"-",1438.1,1481.1,1428.8,"2022 W60 Orlando FL R16",22.3,1576.6
201,"Barbara Haas",26.2,1506.2,1392.7,1452.8,"1418.0",1449.5,1479.5,1462.1,"2016 Saint Malo $50K R32",20.5,1621.5
202,"Kurumi Nara",30.3,1503,1429.3,1451.6,"1343.1",1466.2,1477.3,1423.1,"2015 Hobart QF",23,1824.1
203,"Mona Barthel",31.7,1500.7,1511.2,1464,"1314.3",1506,1482.4,1407.5,"2012 Madrid R64",21.8,1993.1
204,"Ipek Oz",22.9,1500.3,997.7,1483.9,"-",1249,1492.1,1425.2,"2022 W60 Brasov QF",22.9,1530.3
205,"Yue Yuan",30.9,1500.1,1468.1,1301.9,"-",1484.1,1401,1425,"2022 Australian Open Qual",30.6,1608.8
206,"Laura Pigossi",27.8,1496.9,1239.3,1471.3,"-",1368.1,1484.1,1423.4,"2022 Saint Malo 125 R32",27.7,1539.1
207,"Reka Luca Jani",30.9,1496.5,1202.7,1461.2,"1184.2",1349.6,1478.8,1340.3,"2011 US Open Qual",20.1,1527.1
208,"Carolina Alves",26.1,1492.1,1464.5,1369.5,"-",1478.3,1430.8,1421.1,"2022 W60 Saint-Gaudens SF",26,1548
209,"Despina Papamichail",29.3,1491.7,1291.5,1441.1,"1271.2",1391.6,1466.4,1381.4,"2013 Mestre 50K R16",20.6,1532.3
210,"Kristie Ahn",29.2,1489.1,1479.6,1249.3,"1485.7",1484.4,1369.2,1487.4,"2017 Wimbledon Qual",25,1750.3
211,"Natalia Vikhlyantseva",25.3,1488.9,1410.4,1425.9,"1425.8",1449.7,1457.4,1457.4,"2017 St. Petersburg R16",20,1805.5
212,"Angela Fita Boluda",22.9,1488,1219.6,1416.8,"-",1353.8,1452.4,1419,"2022 W60 Brescia F",22.9,1523.4
213,"Yuliya Hatouka",22.1,1482.7,1319,1358.2,"1320.9",1400.9,1420.4,1401.8,"2022 Roland Garros Qual",22.1,1508.6
214,"Alexandra Eala",17.1,1482.5,1418.3,1335.9,"-",1450.4,1409.2,1416.2,"2022 W60 Madrid QF",17.1,1482.5
215,"Lesley Kerkhove",30.6,1481.6,1428.1,1216,"1377.3",1454.9,1348.8,1429.5,"2021 W100 Landisville PA (MOVED FROM 02 AUG) QF",29.8,1604.6
216,"Dalila Jakupovic",31.2,1481.5,1394.8,1384.1,"1445.0",1438.2,1432.8,1463.3,"2018 Birmingham R32",27.2,1729.7
217,"Na Lae Han",29.9,1479.3,1407.8,1377.6,"1267.9",1443.6,1428.5,1373.6,"2019 Us Open Qual",27.1,1497.1
218,"Caroline Dolehide",23.8,1478.4,1509,1317.3,"1234.1",1493.7,1397.8,1356.2,"2018 Roland Garros Qual",19.7,1733.8
219,"Veronica Cepede Royg",30.3,1475.3,1403,1470.6,"1332.4",1439.2,1473,1403.9,"2018 Acapulco R16",26.1,1732.1
220,"Olga Govortsova",33.7,1475.2,1428.3,1349.4,"1553.1",1451.8,1412.3,1514.2,"2009 Moscow SF",21.2,1856.4
221,"Paula Ormaechea",29.6,1473.7,1343.5,1421.6,"1280.1",1408.6,1447.6,1376.9,"2013 Roland Garros R64",20.7,1807.9
