Rank,Player,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
151,Bernard Tomic,1600.3,1578.5,1451.3,1563.1,1589.4,1525.8,1581.7,Tomic B.
152,Illya Marchenko,1600.2,1565.1,1331.3,1466.1,1582.6,1465.8,1533.1,Marchenko I.
153,Joao Sousa,1600,1581.9,1503.9,1527.6,1591,1551.9,1563.8,Sousa J.
154,Jozef Kovalik,1597.6,1406.4,1557.3,1318.5,1502,1577.5,1458.1,Kovalik J.
155,Liam Broady,1597.6,1538.1,1474.3,1294.0,1567.8,1535.9,1445.8,Broady L.
156,Aleksandar Vukic,1597.3,1487.2,1503.5,1429.6,1542.2,1550.4,1513.5,Vukic A.
157,Hugo Dellien,1597.3,1360.9,1553.0,1376.1,1479.1,1575.1,1486.7,Dellien H.
158,Maximilian Marterer,1596.4,1527.6,1536.8,1382.2,1562,1566.6,1489.3,Marterer M.
159,Daniel Altmaier,1595.3,1434.7,1570.5,1416.9,1515,1582.9,1506.1,Altmaier D.
160,Roman Safiullin,1594.5,1538.2,1353.7,-,1566.3,1474.1,1497.3,Safiullin R.
161,Andrej Martin,1592.8,1275.4,1554.5,1114.7,1434.1,1573.6,1353.8,Martin A.
162,Frederico Ferreira Silva,1589.1,1519.9,1465.2,1378.8,1554.5,1527.1,1484,Silva F.F.
163,Leonardo Mayer,1584.6,1582.3,1544.8,1464.6,1583.4,1564.7,1524.6,Mayer L.
164,Sumit Nagal,1584,1374.6,1530.3,1346.9,1479.3,1557.2,1465.5,Nagal S.
165,Robin Haase,1583.9,1568.0,1484.1,1544.2,1576,1534,1564.1,Haase R.
166,Alejandro Tabilo,1582.7,1399.4,1554.0,1341.9,1491.1,1568.4,1462.3,Tabilo A.
167,Brandon Nakashima,1579.3,1652.3,1380.8,1383.6,1615.8,1480,1481.5,Nakashima B.
168,Alessandro Giannessi,1579.1,1302.5,1559.4,1320.5,1440.8,1569.2,1449.8,Giannessi A.
169,Mathias Bourgue,1577.1,1552.8,1409.3,1397.1,1565,1493.2,1487.1,Bourgue M.
170,Christopher Eubanks,1576.1,1521.4,1295.5,1387.2,1548.8,1435.8,1481.7,Eubanks C.
171,Jesper De Jong,1574.3,1300.0,1574.7,-,1437.2,1574.5,1487.2,Jong J.D.
172,Martin Klizan,1574.3,1499.1,1563.7,1339.6,1536.7,1569,1456.9,Klizan M.
173,Marco Trungelliti,1574,1375.8,1570.8,1215.5,1474.9,1572.4,1394.8,Trungelliti M.
174,Matthias Bachinger,1572.1,1525.8,1460.6,1481.0,1549,1516.4,1526.6,Bachinger M.
175,Dimitar Kuzmanov,1568.9,1453.6,1492.0,1500.0,1511.3,1530.5,1534.5,Kuzmanov D.
176,Quentin Halys,1568.2,1462.9,1503.0,1392.3,1515.6,1535.6,1480.2,Halys Q.
177,Marius Copil,1565.7,1513.2,1417.6,1566.1,1539.5,1491.7,1565.9,Copil M.
178,Juan Ignacio Londero,1565,1372.8,1554.6,1333.6,1468.9,1559.8,1449.3,Londero J.I.
179,Gastao Elias,1565,1362.0,1539.4,1262.2,1463.5,1552.2,1413.6,Elias G.
180,Blaz Kavcic,1564.7,1441.6,1507.5,1377.1,1503.1,1536.1,1470.9,Kavcic B.
181,Mischa Zverev,1564.3,1519.3,1475.9,1568.5,1541.8,1520.1,1566.4,Zverev M.
182,Pedro Sousa,1561.6,1201.4,1541.3,1422.2,1381.5,1551.4,1491.9,Sousa P.
183,Altug Celikbilek,1559.7,1446.0,1279.6,1547.0,1502.9,1419.6,1553.4,Celikbilek A.
184,Yuichi Sugita,1559.4,1500.4,1331.9,1549.2,1529.9,1445.7,1554.3,Sugita Y.
